	Pilo_goun	Bauh_chei	Ceib_glaz	Ench_spec	Ipom_marc	Guet_ange	Toco_form	Ambu_cear	Heli_baru	Crot_sp	Cere_jama	Pseu_marg	Indet1	Hipp_sp	Pipt_stip	Pilo_chry	Aspi_pyri	Comb_sp	Anad_colu	Cord_rig	Allo_sp	Caes_sp	Schi_bras	Indet2
Call_gris	13	3	0	0	2	26	0	8	0	11	0	0	1	0	4	0	13	6	1	0	3	0	2	1
Erin_ello	20	18	1	9	0	28	3	3	5	11	0	0	0	0	1	0	15	0	0	1	0	2	0	0
Lonc_mord	14	9	4	10	18	0	0	0	16	0	0	14	1	2	1	23	0	1	0	0	0	0	0	0
Glos_sori	23	10	4	22	8	0	0	0	34	4	0	24	0	24	2	27	0	0	0	0	0	0	0	0
Isog_alla	9	6	0	6	0	4	1	13	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Agri_cing	7	2	0	0	4	0	2	0	3	0	5	0	2	2	0	0	0	0	0	0	0	0	0	0
Eumo_viti	8	6	0	0	0	3	4	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0
Eumo_anal	2	0	0	0	0	1	1	0	1	3	3	0	0	0	0	0	0	0	1	0	0	0	0	0
Mand_rust	6	2	0	0	1	1	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Phyl_disc	0	5	5	8	0	0	0	0	0	0	0	9	0	6	0	0	0	0	0	0	0	0	0	0
Arti_plan	3	0	2	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
Mand_sext	2	1	0	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Xylo_ters	5	0	3	7	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prot_stri	6	0	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erin_obsc	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aell_sp	0	0	0	0	0	5	0	15	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
Cocy_anta	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Call_pars	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseu_tetr	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
