"","betweenness","weighted.betweenness"
"Pilo_goun",0.112508120964003,0.716112531969309
"Bauh_chei",0.112508120964003,0.0051150895140665
"Ceib_glaz",0.035386427298192,0
"Ench_spec",0.0478641456582633,0.00255754475703325
"Ipom_marc",0.0728574121956475,0
"Guet_ange",0.0574119916031681,0.258312020460358
"Toco_form",0.0313822615293204,0
"Ambu_cear",0.0574119916031681,0
"Heli_baru",0.0586358902535373,0.0179028132992327
"Crot_sp",0.112508120964003,0
"Cere_jama",0.00505279034690799,0
"Pseu_marg",0,0
"Indet1",0.0728574121956475,0
"Hipp_sp",0.0101381461675579,0
"Pipt_stip",0.0945156967215791,0
"Pilo_chry",0,0
"Aspi_pyri",0.0430960379489791,0
"Comb_sp",0.0585414585414585,0
"Anad_colu",0.0173239750445633,0
"Cord_rig",0,0
"Allo_sp",0,0
"Caes_sp",0,0
"Schi_bras",0,0
"Indet2",0,0
